"id","state","name"
"US10adam056","Nebraska","NE HASTINGS"
"US10adam057","Nebraska","NE PROSSER"
"US10ante003","Nebraska","NE ORCHARD"
"US10arth002","Nebraska","NE PAXTON"
"US10bann001","Nebraska","NE HARRISBURG"
"US10bann005","Nebraska","NE HARRISBURG"
"US10bann006","Nebraska","NE HARRISBURG"
"US10bann007","Nebraska","NE SCOTTSBLUFF"
"US10bann008","Nebraska","NE HARRISBURG"
"US10bann009","Nebraska","NE GERING"
"US10blai001","Nebraska","NE DUNNING"
"US10blai003","Nebraska","NE DUNNING"
"US10blai004","Nebraska","NE HALSEY"
"US10blai005","Nebraska","NE PURDUM"
"US10blai006","Nebraska","NE DUNNING"
"US10blai008","Nebraska","NE DUNNING"
"US10blai010","Nebraska","NE BREWSTER"
"US10blai011","Nebraska","NE DUNNING"
"US10blai012","Nebraska","NE DUNNING"
"US10blai013","Nebraska","NE MILBURN"
"US10boon002","Nebraska","NE SAINT EDWARD"
"US10boon003","Nebraska","NE ALBION"
"US10boon004","Nebraska","NE ALBION"
"US10boon005","Nebraska","NE ALBION"
"US10boon006","Nebraska","NE CEDAR RAPIDS"
"US10boon007","Nebraska","NE PETERSBURG"
"US10boon008","Nebraska","NE PRIMROSE"
"US10boon009","Nebraska","NE ALBION"
"US10boon010","Nebraska","NE ALBION"
"US10boon011","Nebraska","NE PETERSBURG"
"US10box_001","Nebraska","NE ALLIANCE"
"US10box_003","Nebraska","NE ALLIANCE"
"US10box_004","Nebraska","NE ALLIANCE"
"US10box_005","Nebraska","NE HEMINGFORD"
"US10box_006","Nebraska","NE HEMINGFORD"
"US10box_007","Nebraska","NE ALLIANCE"
"US10box_008","Nebraska","NE HEMINGFORD"
"US10box_009","Nebraska","NE ALLIANCE"
"US10box_010","Nebraska","NE ALLIANCE"
"US10box_013","Nebraska","NE ALLIANCE"
"US10box_014","Nebraska","NE ALLIANCE"
"US10box_020","Nebraska","NE HEMINGFORD"
"US10box_023","Nebraska","NE ALLIANCE"
"US10box_024","Nebraska","NE HEMINGFORD"
"US10box_030","Nebraska","NE HEMINGFORD"
"US10boyd002","Nebraska","NE BUTTE"
"US10boyd003","Nebraska","NE SPENCER"
"US10boyd005","Nebraska","NE BUTTE"
"US10brow001","Nebraska","NE LONG PINE"
"US10brow003","Nebraska","NE JOHNSTOWN"
"US10brow004","Nebraska","NE JOHNSTOWN"
"US10brow005","Nebraska","NE LONG PINE"
"US10brow006","Nebraska","NE JOHNSTOWN"
"US10brow007","Nebraska","NE JOHNSTOWN"
"US10brow008","Nebraska","NE AINSWORTH"
"US10brow009","Nebraska","NE AINSWORTH"
"US10buff001","Nebraska","NE KEARNEY"
"US10buff002","Nebraska","NE KEARNEY"
"US10buff003","Nebraska","NE RAVENNA"
"US10buff004","Nebraska","NE KEARNEY"
"US10buff005","Nebraska","NE GIBBON"
"US10buff006","Nebraska","NE MILLER"
"US10buff007","Nebraska","NE RAVENNA"
"US10buff008","Nebraska","NE RAVENNA"
"US10buff010","Nebraska","NE PLEASANTON"
"US10buff011","Nebraska","NE SHELTON"
